0.22 	15.00 	33.57 	7.59 	30.14 	11.91 
0.16 	11.90 	37.85 	4.81 	32.97 	11.78 
0.19 	15.19 	45.13 	9.87 	35.73 	12.76 
0.22 	12.85 	39.11 	15.87 	34.93 	12.03 
0.27 	11.54 	29.40 	14.18 	34.12 	13.36 
0.23 	13.81 	32.85 	13.90 	33.31 	13.30 
0.29 	12.23 	46.06 	11.31 	32.20 	14.10 
0.29 	12.50 	29.67 	9.19 	31.09 	14.92 
0.25 	12.00 	24.97 	7.94 	29.96 	14.67 
0.28 	11.88 	30.63 	6.71 	30.55 	15.49 
0.29 	13.66 	31.62 	5.16 	31.13 	16.11 
0.23 	13.64 	23.53 	6.18 	31.71 	17.71 
0.18 	14.83 	14.66 	5.36 	28.83 	18.40 
0.16 	13.46 	6.62 	4.46 	25.87 	18.79 
0.40 	10.23 	-6.61 	0.05 	22.82 	19.30 
0.28 	12.53 	4.91 	0.16 	23.90 	19.60 
0.35 	14.04 	6.91 	2.67 	24.98 	19.36 
0.56 	11.26 	7.56 	4.10 	26.04 	19.10 
0.18 	11.35 	11.35 	5.49 	27.85 	19.43 
0.19 	12.82 	2.73 	8.85 	29.63 	18.81 
0.23 	13.12 	6.96 	10.22 	31.37 	19.05 
0.31 	12.56 	-1.41 	11.23 	30.81 	18.57 
0.20 	11.02 	-2.58 	13.68 	30.24 	18.38 
0.16 	10.11 	1.22 	12.64 	29.66 	16.90 
0.19 	9.30 	6.67 	12.52 	30.00 	15.47 
0.19 	10.20 	12.86 	11.34 	30.34 	14.46 
0.13 	13.11 	15.02 	13.89 	30.68 	14.00 
0.21 	11.81 	5.58 	14.41 	29.90 	14.11 
0.28 	10.07 	4.34 	13.69 	29.12 	13.43 
0.20 	9.73 	-4.67 	11.77 	28.33 	13.55 
0.23 	10.93 	-18.82 	13.02 	27.78 	13.14 
0.22 	9.89 	13.03 	11.44 	27.22 	12.69 
0.18 	9.54 	5.34 	10.59 	26.67 	12.21 
0.14 	9.73 	4.42 	10.70 	26.39 	11.65 
0.13 	9.69 	0.53 	10.50 	26.11 	10.74 
0.17 	10.87 	3.71 	11.88 	25.85 	9.59 
0.21 	10.36 	-0.79 	11.25 	23.03 	8.99 
0.40 	10.14 	-5.19 	9.96 	24.06 	8.90 
0.39 	9.56 	8.14 	11.81 	24.92 	7.97 
0.36 	8.80 	5.51 	10.99 	25.08 	7.58 
0.30 	8.99 	14.21 	11.57 	25.00 	6.98 
0.28 	9.61 	21.69 	12.25 	24.84 	6.44 
0.19 	8.94 	20.75 	10.02 	23.90 	5.39 
0.19 	8.37 	-1.19 	10.55 	24.29 	5.16 
