1996-08-23	7.47
1997-10-23	5.67
1998-03-25	5.22
1998-07-01	4.77
1998-12-07	3.78
1999-06-10	2.25
2002-02-21	1.98
2004-10-29	2.25
2006-04-28	2.25
2006-08-19	2.52
2007-03-18	2.79
2007-05-19	3.06
2007-07-21	3.33
2007-08-22	3.6
2007-09-15	3.87
2007-12-21	4.14
2008-09-16	4.14
2008-10-09	3.87
2008-10-30	3.6
2008-11-27	2.52
2008-12-23	2.25
2010-10-20	2.5
2010-12-26	2.75
2011-02-09	3
2011-04-06	3.25
2011-07-07	3.5
2012-06-08	3.25
2012-07-06	3
2014-11-22	2.75
2015-03-01	2.5
2015-05-11	2.25
2015-06-28	2
2015-08-26	1.75
2015-10-24	1.5
2022-09-15	1.65
2022-10-01	1.65
2023-06-08	1.65
2023-09-01	1.55
2024-05-18	1.45
2024-07-25	1.35
