0.37 	1639.67 	2144.61 
0.38 	1718.74 	2305.36 
0.39 	1784.14 	2474.13 
0.40 	1829.90 	2651.83 
0.42 	1887.12 	2981.88 
0.43 	1952.84 	3244.16 
0.45 	2017.12 	3373.22 
0.47 	2086.78 	3618.46 
0.50 	2146.97 	3863.87 
0.53 	2216.30 	4168.93 
0.55 	2285.56 	4531.73 
0.57 	2335.44 	4886.70 
0.58 	2394.66 	5241.87 
0.61 	2463.59 	5583.28 
0.62 	2529.99 	5946.18 
0.63 	2584.50 	6328.55 
0.64 	2647.40 	6678.88 
0.65 	2698.85 	7171.07 
0.66 	2770.26 	7576.31 
0.66 	2846.91 	7932.81 
0.66 	2907.38 	8194.53 
0.66 	2971.09 	8576.14 
0.67 	3015.97 	8901.27 
0.67 	3089.54 	9240.75 
0.66 	3111.60 	9555.76 
0.66 	3177.90 	9833.91 
0.66 	3255.94 	10277.19 
0.66 	3374.11 	10732.31 
0.65 	3377.35 	11159.35 
0.65 	3428.36 	11552.89 
0.65 	3506.66 	11881.11 
0.65 	3610.45 	12294.23 
0.66 	3655.30 	12696.32 
0.66 	3737.60 	13191.18 
0.66 	3816.67 	13673.58 
0.67 	3899.24 	14097.56 
0.68 	3980.59 	14607.22 
0.68 	4054.74 	15057.16 
0.68 	4123.37 	15515.13 
0.68 	4214.08 	16024.19 
0.68 	4309.39 	16573.50 
0.68 	4406.55 	17195.07 
0.68 	4519.74 	17904.16 
0.68 	4624.26 	18732.27 
0.69 	4759.46 	19665.70 
0.69 	4798.88 	20631.12 
0.70 	4977.04 	21657.63 
0.71 	5112.76 	22548.70 
0.72 	5237.80 	23385.82 
0.74 	5339.27 	24228.08 
0.75 	5476.24 	24759.46 
0.76 	5587.62 	25733.99 
0.76 	5797.41 	26664.63 
0.77 	5905.95 	27786.39 
0.78 	6088.46 	29019.52 
0.79 	6297.48 	30390.21 
0.79 	6511.90 	31707.40 
0.80 	6683.95 	32962.46 
0.81 	6850.11 	34161.66 
0.82 	7096.13 	35603.94 
0.84 	7414.85 	37077.24 
0.86 	7657.30 	38493.91 
0.88 	7839.11 	40409.49 
0.89 	8086.41 	42062.93 
0.92 	8285.44 	43584.04 
0.94 	8473.49 	45124.69 
0.95 	8576.78 	46847.39 
0.94 	8665.37 	48803.52 
0.92 	8832.40 	52988.06 
0.93 	9161.96 	57105.63 
0.93 	9474.97 	60381.11 
0.95 	9698.54 	62904.37 
0.97 	9917.30 	66055.83 
0.99 	10153.90 	68682.05 
1.00 	10408.97 	71719.46 
1.03 	10656.45 	75023.86 
1.05 	10926.45 	76974.30 
1.08 	11175.88 	79314.11 
1.09 	11392.75 	81657.40 
1.09 	11584.64 	84703.35 
1.10 	11810.09 	86941.47 
1.11 	12039.03 	89856.96 
1.11 	12261.32 	93154.48 
1.11 	12512.62 	96452.85 
1.12 	12738.69 	100494.89 
1.12 	12957.23 	103650.10 
1.13 	13239.49 	106597.96 
1.14 	13466.18 	109915.66 
1.14 	13700.76 	113432.77 
1.14 	13949.24 	118091.10 
1.15 	14203.14 	120491.91 
1.14 	14445.40 	123334.82 
1.14 	14681.62 	126615.15 
1.14 	14944.66 	131178.51 
1.14 	15196.58 	136459.22 
1.14 	15445.44 	139744.76 
1.14 	15698.67 	143713.02 
1.15 	15959.94 	147388.90 
1.16 	16225.01 	151546.20 
1.17 	16510.51 	155525.83 
1.19 	16808.69 	158571.21 
1.20 	17084.75 	161406.02 
1.21 	17318.49 	164958.08 
1.22 	17628.93 	168915.80 
1.24 	17998.50 	172026.44 
1.24 	18284.97 	174652.41 
1.25 	18439.02 	178757.97 
1.26 	18751.93 	182520.31 
1.26 	19184.49 	186364.59 
1.26 	19399.73 	189329.28 
1.27 	19507.01 	193530.77 
1.27 	19799.79 	198019.38 
1.28 	17884.34 	203445.05 
1.25 	20036.40 	210026.49 
1.28 	20449.22 	214257.86 
1.28 	21033.16 	218836.79 
1.30 	21197.30 	223051.84 
1.32 	21733.64 	227307.46 
1.34 	21550.73 	232066.76 
1.36 	21935.02 	238081.08 
1.35 	22102.64 	244296.52 
1.36 	21897.19 	252234.84 
1.36 	22399.12 	260220.33 
1.35 	22594.60 	266807.30 
1.35 	23014.36 	275136.29 
1.35 	23310.13 	281977.48 
1.34 	23513.67 	287712.42 
1.34 	23788.93 	293540.57 
1.34 	24175.71 	298483.09 
1.34 	24430.63 	301247.76 
